Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38918,3.917,-11.2,11.49,-17,7.74,147.2,,-2.41,207,0.089,162.3,,,,18.35,-4.5,,,,,,,,,,,,,,,,,,,,,39.399387,-0.298689,163.1,4
38516.3892,3.833,-11.8,11.96,-17.6,8.33,146.6,,-1.76,207,0.089,162.3,,,,18.41,-4.7,,,,,,,,,,,,,,,,,,,,,39.399372,-0.298678,163,4
38516.38921,3.902,-11.8,11.69,-17.6,7.86,146.8,,-1.06,195.7,0.093,163.2,,,,18.23,-0.7,,,,,,,,,,,,,,,,,,,,,39.399357,-0.298669,160.8,3.9
38516.38922,3.879,-11.9,12.05,-17.5,8.25,147.5,,-1.44,195.7,0.093,164,,,,18.23,-2.2,,,,,,,,,,,,,,,,,,,,,39.399338,-0.298664,159.9,3.9
38516.38923,3.877,-12.4,12.26,-18.2,8.29,147.8,,-1.5,197.4,0.083,165.3,,,,18.2,-0.9,,,,,,,,,,,,,,,,,,,,,39.399319,-0.298658,159.5,3.8
38516.38924,3.896,-13.3,11.61,-19.6,7.89,147.7,,-1.86,197.4,0.083,167,,,,18.2,-3.7,,,,,,,,,,,,,,,,,,,,,39.399303,-0.298656,159.5,3.8
38516.38925,3.842,-14,11.92,-21.1,8.38,147.5,,-1.7,193.7,0.072,167.8,,,,18.32,-4.3,,,,,,,,,,,,,,,,,,,,,39.399284,-0.298647,162.2,3.8
38516.38927,3.883,-14.4,11.59,-21.3,7.85,147.8,,-1.14,193.7,0.072,168.8,,,,18.23,-1.3,,,,,,,,,,,,,,,,,,,,,39.399269,-0.298644,162.5,3.8
38516.38928,3.884,-14.7,11.53,-22.3,7.83,148.1,,-1.17,208.5,0.067,170.3,,,,18.23,-1.6,,,,,,,,,,,,,,,,,,,,,39.399254,-0.298642,162.7,3.8
38516.38929,3.924,-15.2,11.59,-22.7,7.78,148.7,,-1.3,208.5,0.067,171.4,,,,18.23,-0.8,,,,,,,,,,,,,,,,,,,,,39.399235,-0.298639,163.8,3.8
38516.3893,3.878,-15.5,11.25,-23.2,7.58,149.7,,-1.78,230.5,0.061,172.8,,,,18.23,-3.3,,,,,,,,,,,,,,,,,,,,,39.399216,-0.298639,165.3,3.7
38516.38931,3.902,-16,11.26,-24.6,7.59,149.3,,-1.59,230.5,0.061,173.3,,,,18.38,-4.5,,,,,,,,,,,,,,,,,,,,,39.399197,-0.298639,169,3.8
38516.38933,3.932,-16.6,11.1,-25.2,7.4,149.2,,-1.48,232.3,0.08,174,,,,18.29,-1.9,,,,,,,,,,,,,,,,,,,,,39.399181,-0.298633,169,3.8
38516.38934,3.928,-17.2,11.06,-26.7,7.4,149.4,,-2.01,232.3,0.08,175.5,,,,18.23,-2,,,,,,,,,,,,,,,,,,,,,39.399162,-0.298633,169.4,3.9
38516.38935,3.942,-18.5,10.96,-27.9,7.33,149.1,,-2.1,223.3,0.081,176.7,,,,18.23,-4.1,,,,,,,,,,,,,,,,,,,,,39.399143,-0.298631,170.2,3.9
38516.38936,3.959,-19.4,11.38,-29.1,7.75,149.4,,-2.62,223.3,0.081,177.3,,,,18.23,-4,,,,,,,,,,,,,,,,,,,,,39.399124,-0.298631,172.4,3.9
38516.38937,3.965,-19.9,11.23,-30,7.62,150,,-3.26,238.3,0.092,178.5,,,,18.2,-4.4,,,,,,,,,,,,,,,,,,,,,39.399105,-0.298636,174,3.9
38516.38938,3.992,-20.1,11.4,-30.3,7.81,150.7,,-3.2,238.3,0.092,178.9,,,,18.2,-5.4,,,,,,,,,,,,,,,,,,,,,39.399082,-0.298636,174,3.9
38516.3894,4.098,-20.2,11.47,-31,7.63,150.1,,-2.44,238.3,0.074,179.2,,,,18.29,-6.3,,,,,,,,,,,,,,,,,,,,,39.399063,-0.298636,178.2,4.1
38516.38941,4.153,-20.8,11.21,-32,7.49,149.3,,-2.88,238.3,0.074,179.3,,,,18.32,-5.2,,,,,,,,,,,,,,,,,,,,,39.399044,-0.298639,179.3,4.2
38516.38942,4.229,-21.2,11.6,-32.6,7.82,148.9,,-2.75,241.3,0.08,179.1,,,,18.32,-5,,,,,,,,,,,,,,,,,,,,,39.399025,-0.298639,180,4.2
38516.38943,4.273,-21.7,11.51,-33.2,7.66,148.1,,-3.58,241.3,0.08,179.1,,,,18.26,-6.5,,,,,,,,,,,,,,,,,,,,,39.399006,-0.298639,180.7,4.2
