Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38249.73216,,-59,15.6,-94.2,12.8,230,,2.2,,,323,,17,,10.82,,,-9,,,,,,,,,,12.42,,,,,,,,,,,,
38249.73217,8.77,-61,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,37.827483,-122.38525,,
38249.73218,8.75,,,,,,,,137,0.38,326,,,,10.45,19,,,,,,,,,,,,12.41,,,,,,,,,37.827533,-122.385283,322.8,8.6
38249.73219,8.73,-61,14.3,-98.2,12.8,228,,2.1,,,,,18,,,,,-6,,,,,,,,,,,,,,,,,,,37.82755,-122.385283,,
38249.7322,8.72,-62,,,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,37.827617,-122.3853,,
38249.73222,8.65,-61,13.8,-99.1,12.6,230,,2,144,0.35,328,,18,,10.18,18.5,,-6,,,,,,,,,,12.41,,,,,,,,,,,323.8,8.6
38249.73223,8.67,-61,,,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,37.8277,-122.385333,,
38249.73224,8.63,-61,13.6,-99,12.5,,,,145,0.35,328,,,,9.94,18.4,,,,,,,,,,,,12.41,,,,,,,,,37.8277,-122.385333,325.8,8.5
38249.73225,8.65,-61,,,,229,,2,,,327,33.22,17,1079,,,,-6,,,,,,,,,,,,,,,,,,,37.827783,-122.385367,,
38249.73226,8.6,,,,,,,,145,0.33,327,,,,,18.1,,,,,,,,,,,,,,,,,,,,,37.827783,-122.385367,325.8,8.5
38249.73227,,-61,14,-98,12.5,229,,2,,,,6.06,18,1001,9.84,,,-7,,,,,,,,,,12.41,,,,,,,,,,,,
38249.73229,8.72,-63,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,37.82785,-122.3854,325.8,8.4
38249.7323,8.72,-62,14.4,-99,12.6,228,,2,,0.35,326,33.17,18,943,9.66,18,,-6,,,,,,,,,,12.41,,,,,,,,,,,,
38249.73231,8.68,-62,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,37.827933,-122.385417,,
38249.73232,8.62,-62,13.2,-103,12.4,226,,1.9,147,0.33,326,,18,,9.57,17.6,,-6,,,,,,,,,,12.41,,,,,,,,,37.827983,-122.38545,326.8,8.4
38249.73233,8.69,-63,,,,,,,,,329,,,914,,,,,,,,,,,,,,,,,,,,,,,37.828,-122.38545,,
38249.73234,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82805,-122.385483,,
38249.73236,8.69,-63,13,-102.9,12.5,227,,1.8,151,0.34,327,,18,,9.23,16.7,,-6,,,,,,,,,,12.41,,,,,,,,,,,326.8,8.3
38249.73237,8.67,-64,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,37.82815,-122.3855,,
38249.73238,8.67,-65,12.9,,12.2,,,,155,0.34,329,,,,9.11,15.6,,,,,,,,,,,,12.4,,,,,,,,,37.82815,-122.3855,327.8,8.3
38249.73239,8.63,-66,,-105.8,,226,,1.7,,,329,,18,,,,,-6,,,,,,,,,,,,,,,,,,,37.828217,-122.385533,,
38249.7324,8.68,,12.1,,12.2,,,,157,0.34,331,,,,9.02,14.9,,,,,,,,,,,,12.39,,,,,,,,,37.828217,-122.385533,327.8,8.3
38249.73241,,-67,,-108.7,,225,,1.7,,,,36.56,18,968,,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.73242,8.67,-69,,,,,,,161,,332,,,,,,,,,,,,,,,,,,,,,,,,,,37.8283,-122.38555,330.8,8.3
38249.73244,8.64,-68,11.3,-112.7,11.9,223,,1.6,,0.34,332,,18,950,9.02,14.7,,-6,,,,,,,,,,12.39,,,,,,,,,,,,
38249.73245,8.67,-67,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,37.828367,-122.385567,,
38249.73246,8.69,,12.4,,11.7,,,,165,0.35,334,,,,9.02,15.4,,,,,,,,,,,,12.4,,,,,,,,,37.828433,-122.385567,332.8,8.3
38249.73247,8.73,,,-107.6,,226,,1.7,,,,49.39,18,919,,,,-5,,,,,,,,,,,,,,,,,,,37.82845,-122.385567,,
38249.73248,8.78,-64,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,37.8285,-122.385583,,
38249.73249,8.77,-64,13.8,-101.7,12.1,229,,1.8,163,0.35,332,,18,,9.08,16.3,,,,,,,,,,,,12.41,,,,,,,,,37.828533,-122.385583,333.8,8.4
38249.73251,8.74,-63,,,,,,,,,331,8.06,,,,,,-5,,,,,,,,,,,,,,,,,,,37.8286,-122.385617,,
38249.73252,8.73,,,,,,,,159,0.34,328,,,,9.14,16.8,,,,,,,,,,,,12.41,,,,,,,,,37.8286,-122.385617,333.8,8.4
38249.73253,8.6,-64,15.1,-99.8,12.3,229,,1.8,,,329,-2.06,18,,,,,-7,,,,,,,,,,,,,,,,,,,37.828683,-122.385633,,
38249.73254,8.63,,13.8,,,,,,158,0.32,329,,,,9.17,16.7,,,,,,,,,,,,12.42,,,,,,,,,37.828683,-122.385633,331.8,8.4
38249.73255,8.59,-64,,-100.8,12.4,229,,1.9,,,,-9.72,18,,,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.73256,8.57,-65,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,37.82875,-122.385667,331.8,8.4
38249.73258,8.55,-65,12.8,-103.9,12.1,228,,1.9,158,0.32,330,,18,,9.05,16.5,,-5,,,,,,,,,,12.42,,,,,,,,,,,,
38249.73259,8.54,-64,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,37.828833,-122.385683,,
38249.7326,8.42,,13.5,,,,,,156,0.29,328,,,,9.08,17.6,,,,,,,,,,,,12.42,,,,,,,,,37.828883,-122.3857,331.8,8.4
38249.73261,8.42,-64,,-98.9,12.3,230,,2.1,,,,,18,1047,,,,-4,,,,,,,,,,,,,,,,,,,37.8289,-122.3857,,
38249.73262,8.47,-64,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,37.828967,-122.385717,,
38249.73263,8.51,-62,14.6,-99.1,12.4,229,,2.1,149,0.29,325,,18,996,9.14,18.1,,-4,,,,,,,,,,12.43,,,,,,,,,,,,8.3
38249.73264,8.57,-61,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,37.82905,-122.385767,,
38249.73266,8.64,,,,,,,,140,0.29,322,,,,9.11,18.6,,,,,,,,,,,,12.43,,,,,,,,,37.82905,-122.385767,328.8,8.3
38249.73267,8.65,-57,14.7,-96.1,12.3,228,,2.1,,,317,,17,958,,,,-5,,,,,,,,,,,,,,,,,,,37.829117,-122.385817,,
38249.73268,8.61,,,,,,,,125,0.3,314,,,,9.02,19,,,,,,,,,,,,12.43,,,,,,,,,37.829117,-122.385817,326.8,8.3
38249.73269,8.62,-57,14.5,-93.1,12.2,227,,2.1,,,,,18,926,,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.7327,8.52,-57,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,37.829183,-122.385867,,
38249.73271,8.46,-57,15.3,-93.1,12.2,224,,2.2,113,0.3,312,,18,,8.87,19.1,,,,,,,,,,,,12.43,,,,,,,,,,,318.8,8.1
38249.73273,8.45,,,,,,,,,,,,,1024,,,,-6,,,,,,,,,,,,,,,,,,,37.82925,-122.385917,,
38249.73274,8.48,-57,,,,,,,111,0.32,313,,,,,18.8,,,,,,,,,,,,,,,,,,,,,37.829317,-122.385967,316.8,8
38249.73275,,-55,14.9,-91.2,12.1,225,,2.2,,,314,,18,943,9.05,,,-6,,,,,,,,,,12.43,,,,,,,,,,,,
38249.73276,8.48,-55,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,37.829367,-122.386,,
38249.73277,8.51,-53,16.2,-87.2,12.2,227,,2.2,109,0.32,314,30.72,18,,9.14,19.5,,-6,,,,,,,,,,12.42,,,,,,,,,37.829383,-122.386017,316.8,8.1
38249.73278,8.51,-52,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,37.82945,-122.386067,,
38249.7328,8.57,,,,,,,,107,0.35,311,,,,9.17,20.1,,,,,,,,,,,,12.43,,,,,,,,,37.82945,-122.386067,314.8,8.2
38249.73281,8.55,-52,16.3,-85.2,12.3,226,,2.3,,,,,18,,,,,-6,,,,,,,,,,,,,,,,,,,37.829517,-122.386117,,
38249.73282,8.48,-51,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,37.829517,-122.386117,,
38249.73283,8.44,-51,16.3,-82.3,12.5,227,,2.4,102,0.36,307,,18,,8.93,20.4,,,,,,,,,,,,12.43,,,,,,,,,,,311.8,8.2
38249.73284,8.48,-51,,,,,,,,,307,,,,,,,-7,,,,,,,,,,,,,,,,,,,37.8296,-122.386217,,
38249.73285,8.52,-50,16.7,-82.4,12.7,227,,2.4,102,0.36,307,,,,8.78,20.7,,,,,,,,,,,,12.43,,,,,,,,,,,310.8,8.2
38249.73287,8.55,,,,,,,,,,,27.28,18,,,,,-7,,,,,,,,,,,,,,,,,,,37.829633,-122.386233,,
38249.73288,8.54,-50,,,,,,,104,0.37,307,,,,,20.8,,,,,,,,,,,,12.43,,,,,,,,,37.829683,-122.3863,309.8,8.2
38249.73289,,-49,15.9,-83.4,12.3,227,,2.4,,,,2.89,18,971,8.78,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.7329,8.57,-49,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,37.829733,-122.386333,,
38249.73291,8.56,-48,17,-78.4,12.6,229,,2.4,105,0.37,306,-6.44,18,,8.69,20.7,,-7,,,,,,,,,,12.43,,,,,,,,,37.82975,-122.38635,308.8,8.2
38249.73292,8.55,-48,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,37.829817,-122.386417,,
38249.73293,8.53,-49,17.1,-80.4,12.7,,,,105,0.37,307,,,,8.66,20.1,,,,,,,,,,,,12.42,,,,,,,,,37.829817,-122.386417,307.8,8.2
38249.73295,8.51,,,,,228,,2.3,,,,39.33,18,907,,,,-6,,,,,,,,,,,,,,,,,,,37.829867,-122.386467,,
38249.73296,8.48,-50,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,37.829867,-122.386467,,
38249.73297,8.46,-51,15.7,-83.3,12.7,228,,2.2,109,0.36,308,,18,,8.56,19,,-6,,,,,,,,,,12.42,,,,,,,,,,,307.8,8
38249.73298,8.44,-51,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,37.829967,-122.38655,,
38249.73299,8.41,,,,,,,,114,0.34,313,,,,8.56,18.3,,,,,,,,,,,,12.42,,,,,,,,,37.829983,-122.386567,308.8,8
38249.733,8.48,-51,14.6,-85.2,12.3,229,,2.1,,,,,18,964,,,,-6,,,,,,,,,,,,,,,,,,,37.830033,-122.3866,,
38249.73302,8.48,-51,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,37.830067,-122.386617,,
38249.73303,8.54,-51,15.2,-86.1,12.1,230,,2.1,124,0.35,316,,18,,8.66,18.6,,-6,,,,,,,,,,12.42,,,,,,,,,,,310.8,8
38249.73304,8.62,-50,,,,,,,,,316,,,933,,,,,,,,,,,,,,,,,,,,,,,37.830133,-122.38665,,
38249.73305,8.67,-50,16.1,-85.1,12.1,,,,128,0.35,314,,,,8.59,18.8,,,,,,,,,,,,12.42,,,,,,,,,37.830133,-122.38665,312.8,8.1
