Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38053.04431,2.57,,,,5.94,313,,,138.9,0.29,118,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38053.04433,,,,,,,,,,,119,,,,13.82,,,,,,,,,,,,,,,,,16,,,,,-36.739353,174.936037,,
38053.04435,2.55,-154,3.11,-166,5.59,,,,142.8,0.23,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.7,2.25
38053.04436,2.55,,,,5.61,314.8,,,145,0.25,121,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38053.04438,,,,-167,5.38,,,,,,,,,,14.06,,,,,,,,,,,,,,,,,16,,,,,-36.739385,174.936069,,
38053.04439,2.55,-162,3.11,-170,5.52,312.6,,,155.6,0.27,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.6,2.3
38053.04441,,,,,,,,,,,124,,,,13.95,,,,,,,,,,,,,,,,,1,,,,,-36.739405,174.936088,,
38053.04442,,-172,3.11,-175,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7,2.31
38053.04444,2.49,,,,5.92,308.6,,,167.7,0.33,125,,,,,,,,,,,,,,,,,,,,,16,,,,,,,144.1,2.29
38053.04446,,,,,,,,,,,126,,,,14.03,,,,,,,,,,,,,,,,,1,,,,,-36.739453,174.936119,,
38053.04447,2.47,-175,3.69,-177,6.68,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.3,2.26
38053.04449,2.48,,,,6.25,310.9,,,166.8,0.32,127,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.739474,174.93614,,
38053.04451,,,,,,,,,,,,,,,14.11,,,,,,,,,,,,,,,,,1,,,,,-36.739486,174.936152,,
38053.04452,2.51,-173,3.49,-176,6.29,,,,167.4,0.36,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.4,2.33
